iter	Passed	Remaining
0	0	331
1	0	321
2	1	335
3	1	317
4	1	317
5	1	311
6	2	306
7	2	302
8	2	298
9	2	296
10	3	295
11	3	291
12	3	287
13	4	285
14	4	282
15	4	279
16	4	277
17	5	276
18	5	273
19	5	271
20	5	269
21	6	268
22	6	266
23	6	265
24	6	264
25	7	263
26	7	262
27	7	261
28	7	260
29	8	259
30	8	259
31	8	258
32	8	258
33	9	258
34	9	257
35	9	257
36	9	257
37	10	258
38	10	257
39	10	257
40	10	256
41	11	255
42	11	254
43	11	254
44	11	253
45	12	252
46	12	251
47	12	250
48	12	249
49	13	249
50	13	249
51	13	248
52	13	248
53	14	247
54	14	246
55	14	246
56	14	245
57	15	244
58	15	243
59	15	243
60	15	242
61	15	241
62	16	241
63	16	241
64	16	240
65	16	240
66	17	239
67	17	237
68	17	236
69	17	236
70	18	236
71	18	236
72	18	235
73	18	235
74	19	235
75	19	235
76	19	235
77	19	235
78	20	235
79	20	235
80	20	235
81	20	234
82	21	235
83	21	235
84	21	233
85	21	233
86	22	231
87	22	231
88	22	231
89	22	231
90	23	230
91	23	230
92	23	230
93	23	230
94	24	229
95	24	229
96	24	229
97	24	229
98	25	229
99	25	229
100	25	229
101	25	227
102	26	227
103	26	227
104	26	226
105	26	226
106	27	226
107	27	226
108	27	226
109	27	226
110	28	225
111	28	225
112	28	226
113	29	226
114	29	226
115	29	225
116	29	225
117	30	224
118	30	224
119	30	224
120	30	224
121	31	224
122	31	223
123	31	223
124	32	224
125	32	223
126	32	223
127	32	222
128	32	222
129	33	222
130	33	221
131	33	221
132	33	221
133	34	221
134	34	221
135	34	221
136	35	221
137	35	220
138	35	220
139	35	220
140	36	219
141	36	219
142	36	219
143	36	219
144	37	219
145	37	218
146	37	218
147	37	217
148	38	217
149	38	217
150	38	216
151	38	216
152	39	216
153	39	216
154	39	215
155	39	215
156	40	215
157	40	215
158	40	215
159	40	215
160	41	215
161	41	214
162	41	214
163	42	214
164	42	214
165	42	213
166	42	213
167	43	213
168	43	212
169	43	212
170	43	212
171	44	212
172	44	212
173	44	211
174	44	211
175	45	211
176	45	210
177	45	210
178	45	210
179	46	210
180	46	209
181	46	209
182	46	209
183	47	209
184	47	208
185	47	208
186	47	208
187	48	208
188	48	207
189	48	207
190	48	207
191	49	207
192	49	206
193	49	206
194	49	206
195	50	206
196	50	205
197	50	205
198	51	205
199	51	205
200	51	204
201	51	204
202	52	204
203	52	203
204	52	203
205	52	203
206	53	203
207	53	203
208	53	202
209	53	202
210	54	202
211	54	202
212	54	202
213	54	201
214	55	201
215	55	201
216	55	200
217	55	200
218	56	200
219	56	200
220	56	199
221	57	199
222	57	199
223	57	199
224	57	199
225	58	198
226	58	198
227	58	198
228	58	197
229	59	197
230	59	197
231	59	197
232	59	197
233	60	196
234	60	196
235	60	196
236	60	196
237	61	196
238	61	195
239	61	195
240	61	195
241	62	194
242	62	194
243	62	194
244	63	194
245	63	193
246	63	193
247	63	193
248	64	193
249	64	192
250	64	192
251	64	192
252	65	192
253	65	191
254	65	191
255	65	191
256	66	191
257	66	190
258	66	190
259	66	190
260	67	190
261	67	189
262	67	189
263	67	189
264	68	189
265	68	188
266	68	188
267	69	188
268	69	188
269	69	187
270	69	187
271	70	187
272	70	187
273	70	186
274	70	186
275	71	186
276	71	186
277	71	185
278	71	185
279	72	185
280	72	185
281	72	184
282	72	184
283	73	184
284	73	184
285	73	183
286	73	183
287	74	183
288	74	183
289	74	183
290	75	182
291	75	182
292	75	182
293	75	181
294	76	181
295	76	181
296	76	181
297	76	180
298	76	180
299	77	180
300	77	179
301	77	179
302	78	179
303	78	179
304	78	179
305	78	178
306	79	178
307	79	178
308	79	178
309	79	178
310	80	177
311	80	177
312	80	177
313	81	177
314	81	176
315	81	176
316	81	176
317	82	176
318	82	176
319	82	175
320	82	175
321	83	175
322	83	174
323	83	174
324	84	174
325	84	174
326	84	174
327	84	174
328	85	173
329	85	173
330	85	173
331	86	173
332	86	173
333	86	173
334	87	172
335	87	172
336	87	172
337	88	172
338	88	172
339	88	172
340	88	171
341	89	171
342	89	171
343	89	171
344	89	170
345	90	170
346	90	170
347	90	169
348	90	169
349	91	169
350	91	168
351	91	168
352	91	168
353	91	167
354	92	167
355	92	167
356	92	167
357	92	166
358	93	166
359	93	166
360	93	165
361	94	165
362	94	165
363	94	165
364	94	164
365	95	164
366	95	164
367	95	164
368	95	163
369	96	163
370	96	163
371	96	163
372	96	162
373	97	162
374	97	162
375	97	162
376	97	161
377	98	161
378	98	161
379	98	161
380	98	160
381	99	160
382	99	160
383	99	160
384	100	159
385	100	159
386	100	159
387	100	158
388	101	158
389	101	158
390	101	158
391	101	157
392	102	157
393	102	157
394	102	157
395	102	156
396	103	156
397	103	156
398	103	156
399	103	155
400	104	155
401	104	155
402	104	155
403	104	154
404	105	154
405	105	154
406	105	154
407	106	153
408	106	153
409	106	153
410	106	153
411	107	152
412	107	152
413	107	152
414	107	152
415	108	151
416	108	151
417	108	151
418	108	150
419	109	150
420	109	150
421	109	150
422	109	149
423	110	149
424	110	149
425	110	149
426	110	148
427	111	148
428	111	148
429	111	147
430	111	147
431	112	147
432	112	147
433	112	146
434	112	146
435	113	146
436	113	146
437	113	145
438	113	145
439	114	145
440	114	145
441	114	144
442	114	144
443	115	144
444	115	143
445	115	143
446	115	143
447	116	143
448	116	143
449	116	142
450	117	142
451	117	142
452	117	141
453	117	141
454	118	141
455	118	141
456	118	140
457	118	140
458	119	140
459	119	140
460	119	139
461	119	139
462	120	139
463	120	139
464	120	138
465	120	138
466	121	138
467	121	137
468	121	137
469	121	137
470	122	137
471	122	136
472	122	136
473	122	136
474	123	136
475	123	135
476	123	135
477	123	135
478	124	135
479	124	134
480	124	134
481	124	134
482	125	134
483	125	133
484	125	133
485	126	133
486	126	133
487	126	132
488	126	132
489	127	132
490	127	131
491	127	131
492	127	131
493	128	131
494	128	130
495	128	130
496	128	130
497	129	130
498	129	129
499	129	129
500	130	129
501	130	129
502	130	129
503	131	128
504	131	128
505	131	128
506	131	128
507	132	127
508	132	127
509	132	127
510	132	127
511	133	126
512	133	126
513	133	126
514	133	126
515	134	125
516	134	125
517	134	125
518	134	125
519	135	124
520	135	124
521	135	124
522	136	124
523	136	124
524	137	124
525	137	124
526	138	123
527	138	123
528	138	123
529	138	123
530	139	122
531	139	122
532	139	122
533	139	122
534	140	121
535	140	121
536	140	121
537	140	121
538	141	120
539	141	120
540	141	120
541	141	119
542	142	119
543	142	119
544	142	118
545	142	118
546	142	118
547	143	118
548	143	117
549	143	117
550	143	117
551	144	117
552	144	116
553	144	116
554	144	116
555	145	115
556	145	115
557	145	115
558	145	115
559	146	114
560	146	114
561	146	114
562	146	113
563	147	113
564	147	113
565	147	113
566	147	112
567	148	112
568	148	112
569	148	112
570	148	111
571	149	111
572	149	111
573	149	111
574	149	110
575	150	110
576	150	110
577	150	109
578	150	109
579	151	109
580	151	109
581	151	108
582	151	108
583	152	108
584	152	108
585	152	107
586	152	107
587	153	107
588	153	107
589	153	106
590	153	106
591	154	106
592	154	106
593	154	105
594	154	105
595	155	105
596	155	104
597	155	104
598	155	104
599	156	104
600	156	103
601	156	103
602	156	103
603	157	103
604	157	102
605	157	102
606	158	102
607	158	102
608	158	101
609	158	101
610	159	101
611	159	101
612	159	100
613	159	100
614	160	100
615	160	99
616	160	99
617	160	99
618	161	99
619	161	98
620	161	98
621	161	98
622	162	98
623	162	97
624	162	97
625	163	97
626	163	97
627	163	96
628	163	96
629	164	96
630	164	96
631	164	95
632	164	95
633	165	95
634	165	95
635	165	94
636	166	94
637	166	94
638	166	94
639	167	93
640	167	93
641	167	93
642	167	93
643	168	92
644	168	92
645	168	92
646	168	92
647	169	91
648	169	91
649	169	91
650	169	91
651	170	90
652	170	90
653	170	90
654	170	90
655	171	89
656	171	89
657	171	89
658	171	88
659	172	88
660	172	88
661	172	88
662	172	87
663	173	87
664	173	87
665	173	87
666	174	86
667	174	86
668	174	86
669	174	86
670	175	85
671	175	85
672	175	85
673	175	85
674	176	84
675	176	84
676	176	84
677	177	84
678	177	83
679	177	83
680	177	83
681	178	83
682	178	82
683	178	82
684	178	82
685	179	81
686	179	81
687	179	81
688	179	81
689	180	80
690	180	80
691	180	80
692	180	80
693	181	79
694	181	79
695	181	79
696	182	79
697	182	78
698	182	78
699	182	78
700	183	78
701	183	77
702	183	77
703	183	77
704	184	77
705	184	76
706	184	76
707	184	76
708	185	75
709	185	75
710	185	75
711	185	75
712	186	74
713	186	74
714	186	74
715	186	74
716	187	73
717	187	73
718	187	73
719	187	73
720	188	72
721	188	72
722	188	72
723	189	72
724	189	71
725	189	71
726	189	71
727	190	71
728	190	70
729	190	70
730	190	70
731	191	69
732	191	69
733	191	69
734	191	69
735	192	68
736	192	68
737	192	68
738	193	68
739	193	67
740	193	67
741	193	67
742	194	67
743	194	66
744	194	66
745	194	66
746	195	66
747	195	65
748	195	65
749	196	65
750	196	65
751	196	64
752	196	64
753	197	64
754	197	64
755	197	63
756	197	63
757	198	63
758	198	62
759	198	62
760	198	62
761	199	62
762	199	61
763	199	61
764	199	61
765	200	61
766	200	60
767	200	60
768	200	60
769	201	60
770	201	59
771	201	59
772	201	59
773	202	59
774	202	58
775	202	58
776	203	58
777	203	58
778	203	57
779	203	57
780	204	57
781	204	57
782	204	56
783	205	56
784	205	56
785	205	55
786	205	55
787	206	55
788	206	55
789	206	54
790	206	54
791	207	54
792	207	54
793	207	53
794	207	53
795	208	53
796	208	53
797	208	52
798	208	52
799	209	52
800	209	52
801	209	51
802	209	51
803	210	51
804	210	50
805	210	50
806	210	50
807	211	50
808	211	49
809	211	49
810	212	49
811	212	49
812	212	48
813	212	48
814	213	48
815	213	48
816	213	47
817	213	47
818	214	47
819	214	47
820	214	46
821	214	46
822	215	46
823	215	45
824	215	45
825	215	45
826	216	45
827	216	44
828	216	44
829	216	44
830	217	44
831	217	43
832	217	43
833	217	43
834	218	43
835	218	42
836	218	42
837	218	42
838	219	42
839	219	41
840	219	41
841	219	41
842	220	40
843	220	40
844	220	40
845	220	40
846	221	39
847	221	39
848	221	39
849	221	39
850	222	38
851	222	38
852	222	38
853	222	38
854	223	37
855	223	37
856	223	37
857	224	37
858	224	36
859	224	36
860	224	36
861	225	36
862	225	35
863	225	35
864	225	35
865	226	34
866	226	34
867	226	34
868	226	34
869	227	33
870	227	33
871	227	33
872	227	33
873	228	32
874	228	32
875	228	32
876	228	32
877	229	31
878	229	31
879	229	31
880	229	31
881	230	30
882	230	30
883	230	30
884	231	30
885	231	29
886	231	29
887	231	29
888	232	28
889	232	28
890	232	28
891	232	28
892	233	27
893	233	27
894	233	27
895	233	27
896	234	26
897	234	26
898	234	26
899	235	26
900	235	25
901	235	25
902	235	25
903	236	25
904	236	24
905	236	24
906	236	24
907	237	24
908	237	23
909	237	23
910	237	23
911	238	22
912	238	22
913	238	22
914	238	22
915	239	21
916	239	21
917	239	21
918	239	21
919	240	20
920	240	20
921	240	20
922	240	20
923	241	19
924	241	19
925	241	19
926	241	19
927	242	18
928	242	18
929	242	18
930	242	18
931	243	17
932	243	17
933	243	17
934	243	16
935	244	16
936	244	16
937	244	16
938	244	15
939	245	15
940	245	15
941	245	15
942	245	14
943	246	14
944	246	14
945	246	14
946	246	13
947	247	13
948	247	13
949	247	13
950	247	12
951	248	12
952	248	12
953	248	11
954	249	11
955	249	11
956	249	11
957	249	10
958	250	10
959	250	10
960	250	10
961	251	9
962	251	9
963	251	9
964	251	9
965	252	8
966	252	8
967	252	8
968	252	8
969	253	7
970	253	7
971	253	7
972	253	7
973	254	6
974	254	6
975	254	6
976	254	6
977	255	5
978	255	5
979	255	5
980	255	4
981	256	4
982	256	4
983	256	4
984	257	3
985	257	3
986	257	3
987	258	3
988	258	2
989	258	2
990	258	2
991	259	2
992	259	1
993	259	1
994	259	1
995	260	1
996	260	0
997	260	0
998	260	0
999	261	0
